id,key,created_ts,type,size
2,fullexports/dsire-2015-02.zip,"2015-02-24 17:17:00",csv,4178997
3,fullexports/dsire-2015-02.xml,"2015-02-24 18:06:28",xml,71411539
4,fullexports/dsire-2015-03.xml,"2015-03-01 00:00:26",xml,71240930
5,fullexports/dsire-2015-03.zip,"2015-03-01 00:15:14",csv,4180506
6,fullexports/dsire-2015-03.zip,"2015-03-23 16:03:19",csv,6392101
8,fullexports/dsire-2015-04.zip,"2015-04-01 00:18:09",csv,7331514
10,fullexports/dsire-2015-04.xml,"2015-04-08 17:32:56",xml,268448024
11,fullexports/dsire-2015-05.xml,"2015-05-01 00:15:20",xml,400238153
12,fullexports/dsire-2015-05.zip,"2015-05-01 00:28:55",csv,11153790
13,fullexports/dsire-2015-07.xml,"2015-07-21 20:24:54",xml,825644813
14,fullexports/dsire-2015-08.xml,"2015-08-01 00:00:36",xml,76242726
15,fullexports/dsire-2015-08.zip,"2015-08-01 00:15:16",csv,4416021
16,fullexports/dsire-2015-09.xml,"2015-09-01 00:00:32",xml,76363053
17,fullexports/dsire-2015-09.zip,"2015-09-01 00:15:17",csv,4423666
18,fullexports/dsire-2016-02.xml,"2016-02-04 19:34:08",xml,78275143
19,fullexports/dsire-2016-02.zip,"2016-02-04 19:34:43",csv,4508425
20,fullexports/dsire-2016-03.xml,"2016-03-01 00:00:33",xml,78680897
21,fullexports/dsire-2016-03.zip,"2016-03-01 00:15:17",csv,4526226
22,fullexports/dsire-2016-04.xml,"2016-04-01 00:00:33",xml,78886395
23,fullexports/dsire-2016-04.zip,"2016-04-01 00:15:17",csv,4541238
24,fullexports/dsire-2016-05.xml,"2016-05-01 00:00:32",xml,78965131
25,fullexports/dsire-2016-05.zip,"2016-05-01 00:15:18",csv,4546642
26,fullexports/dsire-2016-06.xml,"2016-06-01 00:00:34",xml,79380083
27,fullexports/dsire-2016-06.zip,"2016-06-01 00:15:17",csv,4560546
28,fullexports/dsire-2016-07.xml,"2016-07-01 00:00:33",xml,79794339
29,fullexports/dsire-2016-07.zip,"2016-07-01 00:15:18",csv,4572360
30,fullexports/dsire-2016-08.xml,"2016-08-01 00:00:40",xml,79999679
31,fullexports/dsire-2016-08.zip,"2016-08-01 00:15:18",csv,4580137
32,fullexports/dsire-2016-09.xml,"2016-09-01 00:00:29",xml,80181006
33,fullexports/dsire-2016-09.zip,"2016-09-01 00:15:18",csv,4597626
34,fullexports/dsire-2016-10.xml,"2016-10-01 00:00:48",xml,80367347
35,fullexports/dsire-2016-10.zip,"2016-10-01 00:15:19",csv,4614103
36,fullexports/dsire-2016-11.xml,"2016-11-01 00:00:36",xml,80530778
37,fullexports/dsire-2016-11.zip,"2016-11-01 00:15:19",csv,4629429
38,fullexports/dsire-2016-12.xml,"2016-12-01 00:00:33",xml,80611584
39,fullexports/dsire-2016-12.zip,"2016-12-01 00:15:18",csv,4638448
40,fullexports/dsire-2017-01.xml,"2017-01-01 00:00:31",xml,80623985
41,fullexports/dsire-2017-01.zip,"2017-01-01 00:15:17",csv,4639648
42,fullexports/dsire-2017-02.xml,"2017-02-01 00:00:36",xml,83844416
43,fullexports/dsire-2017-02.zip,"2017-02-01 00:15:19",csv,4838360
44,fullexports/dsire-2017-03.xml,"2017-03-01 00:00:34",xml,83875502
45,fullexports/dsire-2017-03.zip,"2017-03-01 00:15:19",csv,4847743
46,fullexports/dsire-2017-04.xml,"2017-04-01 00:00:33",xml,84098560
47,fullexports/dsire-2017-04.zip,"2017-04-01 00:15:19",csv,4862573
